id;max_value;temp;temp.seq;latitude;longitude
198510175370;0.022;7.307889;6.81194008465404;58.05;10.95
198510175380;0.025;7.307889;6.81279082643989;58.1;10.433333333333
198510175390;0.023;7.307889;6.81364156822574;58.166666666667;10.333333333333
198510175410;0.029;7.307889;6.8144923100116;58.133333333333;9.8333333333333
198510175420;0.023;7.307889;6.81534305179745;58.066666666667;9.8666666666667
198510175430;0.022;7.307889;6.8161937935833;58;9.9
198510175450;0.022;7.307889;6.81704453536915;57.9;9.4166666666667
198510175460;0.023;7.307889;6.81789527715501;57.933333333333;9.35
198510175470;0.028;7.307889;6.81874601894086;57.966666666667;9.3
198510175480;0.023;7.307889;6.81959676072671;57.833333333333;8.9833333333333
198510175490;0.028;7.307889;6.82044750251256;57.75;8.4833333333333
198510175500;0.024;7.307889;6.82129824429841;57.7;8.3833333333333
